INFO,CREDIT
Standing Entering Session,Sessional Evaluation Outcome
Standing Entering Next Eligible Session,N/A (new student)
"<60% sessional average or ,<65% in HMKN courses = Academic Probation",Academic Probation (reduced credit load requirement)
Academic Probation,Failed standing (previous Academic Probation standing with another sessional evaluation of Academic Probation)
Failed standing (reduced credit load requirement 12 months later),Failed standing (in any year of study or program)
Failed standing (previous failed session with another Sessional Evaluation of Academic Probation),Failed standing (Required to Withdraw)
Good Standing (no previous session of Academic Probation or Failed standing),Academic Probation
Academic Probation (reduced credit load requirement),Good Standing (with previous session of Academic Probation or Failed standing)
Failed standing - Required to withdraw,Failed standing (reviewed for future eligibility to continue)
