INFO,CREDIT
MATH 300 or 305,3
MATH 3201,3
"Two of MATH 301, 321, 322, and 400",6
Elective 300- and 400-level MATH courses2,12
1 The prerequisites for MATH 320 will be waived for students who earn an overall average of at least 80% on the best 5 or more credits of 200-level MATH courses from the first component. Other students must obtain at least 80% in MATH 220.,"2 Eligible elective 300- and 400-level MATH courses are: MATH 301, 257/316, 318, 321, 322, 331, 345, 400-406, 412, 416-440, 443, and 449."
,
