INFO,CREDIT
COMR 457,3
COMR 465,3
"One of COMR 329, 458 or 473",3
ECON 310 (or 101),3
ECON 311 (or 102),3
An engineering economics course appropriate for the program in which the student is enrolled,3
Total Credits,18
