INFO,CREDIT
Term 1,"Terms 2, 3, 4"
Term 5,NURS 300
3,NURS 330
3,NURS 310
2,NURS 321
2,NURS 360
4,NURS 352
3,Total
17,NURS 353
2,NURS 331
3,NURS 354
3,NURS 322
1,NURS 351
3,NURS 303
3,NURS 344
2,NURS 301
3,NURS 323
1,NURS 363
4,NURS 365
3,NURS 350
3,NURS 362
4,NURS 345
3,NURS 346
3,NURS 401
1,NURS 366
3,NURS 361
7,Total
52,NURS 430
2,NURS 402
1,NURS 427
9,Total
12,Total Credits (Years 3 & 4)
81,Total Program Credits
129,
